     epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.02391,            0.052029,                   0,             0.85333,             0.85213,             0.91167,             0.59126,             0.02083,            0.032835,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.022262,            0.055894,                   0,             0.81501,             0.85506,             0.90463,             0.56276,            0.021493,            0.032101,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.022472,            0.051425,                   0,             0.91535,             0.81953,             0.90787,             0.60021,            0.020417,            0.032279,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.024037,            0.052658,                   0,             0.91153,             0.83796,             0.91409,             0.58078,            0.020207,            0.032168,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.022004,            0.051406,                   0,             0.88322,             0.85028,              0.9111,              0.5963,            0.019153,            0.031912,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.021783,            0.058895,                   0,              0.8555,              0.8817,             0.90976,             0.61345,            0.018382,            0.030771,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.021666,            0.056367,                   0,             0.89697,             0.85028,             0.92448,             0.63074,            0.019188,            0.030691,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.022109,            0.047409,                   0,             0.89321,             0.85032,             0.91662,             0.62641,            0.018021,            0.030866,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.020529,            0.051464,                   0,             0.90858,             0.85582,             0.92584,             0.67601,            0.016948,            0.030581,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.021749,            0.050398,                   0,             0.89609,             0.86322,             0.93097,             0.63277,            0.019605,            0.031145,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.020792,             0.04951,                   0,             0.86005,             0.87464,             0.92362,             0.63116,            0.017857,            0.031177,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.020651,            0.051822,                   0,             0.87476,             0.84658,             0.92102,              0.6397,            0.016549,            0.031463,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.021655,            0.053308,                   0,             0.88941,             0.87061,             0.92728,              0.6313,            0.017713,            0.030299,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.020835,            0.051967,                   0,             0.87285,             0.86283,             0.92345,              0.6348,             0.01734,            0.031831,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.020488,            0.050864,                   0,             0.90824,             0.83179,             0.91701,             0.58136,            0.020342,             0.03174,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.021461,            0.048995,                   0,             0.92603,             0.84658,             0.92448,             0.66972,             0.01699,            0.031112,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.020207,            0.051241,                   0,             0.92207,             0.86322,             0.93655,             0.64623,            0.018462,            0.029358,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.021012,            0.051711,                   0,             0.93417,             0.83935,             0.92118,             0.65671,            0.016741,            0.030203,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.020115,            0.050952,                   0,             0.90055,             0.87616,             0.93784,             0.67974,            0.015951,            0.029255,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.020368,            0.052022,                   0,             0.88599,             0.87622,             0.92739,             0.63373,            0.017366,            0.031434,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.018481,            0.051634,                   0,             0.86478,             0.87246,             0.91075,             0.65892,            0.016033,            0.030618,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.020364,            0.045945,                   0,             0.90053,             0.86322,             0.93054,              0.6624,            0.017659,            0.028943,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.020238,            0.048558,                   0,             0.90462,             0.88909,             0.94007,             0.70572,            0.015522,             0.02884,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.020413,            0.051323,                   0,             0.89272,             0.88355,             0.94006,             0.70692,            0.014579,            0.029056,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.019516,             0.04815,                   0,             0.89826,             0.87431,             0.93818,             0.67016,            0.017088,            0.029694,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.017614,            0.049975,                   0,             0.92364,             0.81885,             0.92451,             0.65271,            0.017858,            0.029875,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.019917,            0.049032,                   0,             0.91096,             0.85097,              0.9239,             0.70929,            0.014972,            0.029724,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.019602,            0.049427,                   0,             0.87792,              0.8906,              0.9319,             0.66695,            0.016613,            0.028755,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.019467,            0.048352,                   0,             0.90677,             0.85213,             0.91785,               0.694,            0.015771,            0.029914,                   0,            0.007822,            0.007822,            0.007822
                  68,             0.01947,            0.049376,                   0,             0.91387,             0.86876,             0.94383,             0.71751,            0.014895,            0.027605,                   0,            0.007789,            0.007789,            0.007789
                  69,             0.01848,            0.046569,                   0,             0.88048,             0.88509,             0.94087,             0.69454,             0.01584,            0.028818,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.018773,            0.047701,                   0,             0.90486,             0.87896,             0.94335,             0.66813,            0.016447,            0.028859,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.019124,             0.04737,                   0,             0.90418,             0.87214,             0.93312,             0.70861,            0.015014,            0.028299,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.019473,            0.045891,                   0,             0.88147,             0.86137,             0.92059,             0.67689,              0.0145,            0.030523,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.019727,            0.048905,                   0,             0.91935,             0.87061,              0.9376,             0.68612,            0.014971,            0.027851,                   0,            0.007624,            0.007624,            0.007624
