 epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.025464,            0.054367,                   0,             0.91377,             0.80961,             0.91229,             0.58135,            0.021264,            0.034389,                   0,            0.008746,            0.008746,            0.008746
                  40,             0.02415,            0.057799,                   0,             0.88947,               0.833,             0.91745,             0.59246,            0.020125,            0.034061,                   0,            0.008713,            0.008713,            0.008713
                  41,             0.02379,            0.054313,                   0,             0.89855,             0.83364,             0.90547,              0.6063,            0.019839,            0.034369,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.024398,            0.055857,                   0,             0.94571,             0.80492,             0.90248,             0.58746,            0.020189,            0.034347,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.022735,            0.053677,                   0,             0.92505,             0.82124,             0.90915,             0.56631,            0.020268,            0.033163,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.023594,            0.060964,                   0,             0.86476,             0.85028,             0.90767,             0.59306,            0.019172,            0.034259,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.023654,            0.058221,                   0,             0.90063,             0.85441,             0.91925,             0.55797,            0.021682,            0.032709,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.023063,            0.049577,                   0,             0.89642,             0.85213,             0.92665,             0.64545,            0.018221,             0.03144,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.022766,            0.053451,                   0,             0.89092,             0.83179,             0.91529,              0.6157,            0.018232,             0.03258,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.022205,            0.052451,                   0,             0.90597,             0.85488,             0.92534,             0.63003,            0.018377,            0.033403,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.022081,            0.051859,                   0,             0.85547,             0.87616,             0.91415,             0.58152,             0.02027,            0.033547,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.023105,            0.054684,                   0,             0.90483,             0.83919,             0.92842,             0.66434,            0.017002,            0.032651,                   0,            0.008383,            0.008383,            0.008383
                  51,             0.02278,            0.055873,                   0,             0.90587,             0.85767,             0.92077,             0.59492,             0.01983,            0.032542,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.021889,            0.053617,                   0,             0.88567,             0.83048,             0.91113,             0.64171,            0.017939,            0.032144,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.021175,            0.053053,                   0,             0.90394,             0.83549,             0.90954,             0.61289,            0.018236,            0.032237,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.021938,            0.052098,                   0,             0.89554,             0.86137,             0.93413,             0.63825,            0.018416,            0.030433,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.021593,             0.05264,                   0,             0.89629,             0.84663,             0.92225,              0.6183,             0.01939,            0.032059,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.022362,            0.053784,                   0,             0.91578,             0.87061,             0.92771,             0.64747,            0.017273,            0.031109,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.022446,            0.053431,                   0,             0.88088,             0.87616,             0.92695,             0.63706,            0.017253,            0.031637,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.021997,            0.054391,                   0,             0.88898,             0.85849,             0.91978,             0.58206,            0.019876,            0.032089,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.021246,            0.052661,                   0,             0.91349,             0.87246,              0.9342,             0.66834,            0.016158,            0.030526,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.020926,            0.048575,                   0,             0.89913,             0.88909,             0.93667,             0.65249,            0.018262,            0.030586,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.020592,            0.050562,                   0,             0.90638,             0.85397,             0.92789,             0.62873,            0.018573,            0.031686,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.021819,            0.053398,                   0,              0.9019,             0.85767,             0.92155,             0.66654,            0.016249,            0.030444,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.021009,            0.050556,                   0,             0.88015,              0.8854,             0.93316,             0.64877,            0.017719,             0.03078,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.020087,            0.051468,                   0,              0.9087,             0.87246,             0.92943,             0.61834,            0.017862,            0.030566,                   0,            0.007921,            0.007921,            0.007921
                  65,             0.02162,            0.051625,                   0,             0.89691,             0.86691,              0.9298,             0.66717,            0.015969,            0.031492,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.019576,            0.052765,                   0,             0.86401,               0.878,             0.92161,             0.65007,            0.017078,             0.03085,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.021057,            0.050464,                   0,             0.91713,             0.85213,             0.92457,             0.65965,             0.01575,             0.03081,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.019908,            0.051537,                   0,             0.89921,             0.87399,             0.94126,             0.69822,            0.014885,            0.029164,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.019516,            0.048328,                   0,             0.91665,             0.87413,             0.93415,             0.65742,            0.016636,            0.029347,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.019048,            0.050311,                   0,             0.92992,              0.8584,             0.92731,             0.61782,            0.019572,            0.030039,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.020221,            0.050234,                   0,             0.88591,             0.87431,             0.93042,               0.653,            0.017291,            0.029903,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.020224,            0.048664,                   0,             0.88185,             0.88355,             0.92797,              0.6761,            0.015109,            0.029492,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.020175,            0.051406,                   0,             0.93477,             0.87413,             0.94463,             0.65756,            0.016818,            0.029714,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.020129,            0.049233,                   0,             0.91482,             0.88909,             0.94327,             0.70803,             0.01425,            0.029403,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.019577,            0.047187,                   0,             0.89176,              0.8817,               0.934,             0.68607,            0.015887,            0.029545,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.019473,            0.049705,                   0,              0.8776,             0.90943,             0.93819,             0.66834,            0.016502,            0.029749,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.019336,            0.048574,                   0,             0.89022,             0.86937,             0.93421,             0.69247,            0.015012,            0.030776,                   0,            0.007492,            0.007492,            0.007492
